Flare Class,Start Time,Peak Time,End Time,Active Region Number,Harp Number,CME
M2.1,2015-08-28T18:56Z,2015-08-28T19:03Z,2015-08-28T19:06Z,12403,5885,No
M1.4,2015-08-21T09:34Z,2015-08-21T09:48Z,2015-08-21T10:07Z,12403,5885,2015-08-21T10:24:00-CME-001
M1.4,2015-08-30T02:01Z,2015-08-30T03:30Z,2015-08-30T04:23Z,12403,5885,No
M1.2,2015-08-22T06:39Z,2015-08-22T06:49Z,2015-08-22T06:59Z,12403,5885,2015-08-22T07:24:00-CME-001
M1.2,2015-08-21T01:56Z,2015-08-21T02:18Z,2015-08-21T02:37Z,12403,5885,No
M1.1,2015-08-21T19:10Z,2015-08-21T20:34Z,2015-08-21T20:50Z,12403,5885,No
M1.0,2015-08-24T17:40Z,2015-08-24T17:46Z,2015-08-24T17:49Z,12403,5885,No
M2.1,2015-09-20T17:32Z,2015-09-20T18:03Z,2015-09-20T18:29Z,12415,5956,2015-09-20T18:12:00-CME-001
M1.1,2015-09-17T09:34Z,2015-09-17T09:40Z,2015-09-17T09:45Z,12415,5956,No
M1.5,2015-09-20T04:55Z,2015-09-20T05:03Z,2015-09-20T05:17Z,12420,5974,No
M3.6,2015-09-28T03:45Z,2015-09-28T03:55Z,2015-09-28T03:59Z,12423,5982,2015-09-28T05:12:00-CME-001
M1.3,2015-09-29T08:46Z,2015-09-29T08:51Z,2015-09-29T08:55Z,12423,5982,No
M1.2,2015-09-29T03:11Z,2015-09-29T03:16Z,2015-09-29T03:31Z,12423,5982,No
M1.2,2015-09-29T05:33Z,2015-09-29T05:37Z,2015-09-29T05:39Z,12423,5982,No
M7.6,2015-09-28T14:53Z,2015-09-28T14:58Z,2015-09-28T15:03Z,12422,5983,No
M5.5,2015-10-02T00:06Z,2015-10-02T00:13Z,2015-10-02T00:17Z,12422,5983,No
M4.5,2015-10-01T13:03Z,2015-10-01T13:10Z,2015-10-01T13:14Z,12422,5983,No
M2.9,2015-09-29T05:05Z,2015-09-29T05:16Z,2015-09-29T05:23Z,12422,5983,No
M1.9,2015-09-27T10:20Z,2015-09-27T10:40Z,2015-09-27T10:46Z,12422,5983,No
M1.6,2015-09-29T11:09Z,2015-09-29T11:15Z,2015-09-29T11:20Z,12422,5983,No
M1.4,2015-09-29T06:39Z,2015-09-29T06:43Z,2015-09-29T06:46Z,12422,5983,No
M1.3,2015-09-30T10:49Z,2015-09-30T10:59Z,2015-09-30T11:13Z,12422,5983,No
M1.1,2015-09-28T07:27Z,2015-09-28T07:35Z,2015-09-28T07:46Z,12422,5983,No
M1.1,2015-09-28T13:01Z,2015-09-28T13:18Z,2015-09-28T13:29Z,12422,5983,No
M1.1,2015-09-29T03:41Z,2015-09-29T03:43Z,2015-09-29T03:53Z,12422,5983,No
M1.1,2015-09-29T19:20Z,2015-09-29T19:24Z,2015-09-29T19:27Z,12422,5983,No
M1.1,2015-09-30T13:18Z,2015-09-30T13:20Z,2015-09-30T13:21Z,12422,5983,No
